id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,"I like to play video games, but my mom ask me to study, and I have to",n/a,listen to her.,play video games.,go to sleep.,shout at her.
n/a,"During our last few romantic dinners, my wife and I could not stop arguing. I",n/a,took it to mean that the flame would never be rekindled.,asked my fairy godparents to rewind time so I could try again.,decided to tell her about my being born on Venus.,ended up stealing her dog.
n/a,The participants of a swimming competition are gathered near the swimming pool. They,n/a,prepare to dive into the water.,complete their homework.,run away.,turn towards the river and get prepared for the swimming competition.
n/a,"Petter loves computer science, he",n/a,admires Turing very much.,thinks codes and algorithms are very boring.,dreams about being an mathematician.,doesn't feel well.
n/a,"Cricket is played with balls and bats, if you have bat and ball then",n/a,we can go for a game.,we can go to the library for playing cricket.,we can not play cricket.,we can go for dinner.
n/a,The TV show host wasn't making any sense. The host,n/a,was possibly drunk.,country organized a beautiful World Cup.,couldn't be reached after the connection hang.,disseminated the disease through society.
n/a,Matt stopped hating his boss after,n/a,his boss gave him a promotion.,his boss was promoted.,he got fired.,he quit.
n/a,A waiter is serving a table. They,n/a,describe today's specials.,jump on the entrees sitting on the table.,"eat the customer's food, say order up, and leave the table.",rip the menus in half and place them on the table
n/a,eight minus seven is,n/a,one,two,seven,eight
n/a,Alice is studying for a math test. John is going to exercise. Alice,n/a,works on algebra problems.,puts on her running shoes.,changes into gym shorts.,fills her water bottle.
n/a,A man dances across the stage as his partner twirls. The man then,n/a,greets her with his hand as he spins her into his arms as the audience cheers in delight.,calls his mom to tell her that he is dancing.,plans a party.,calls his mom to tell her to watch a movie.
n/a,The motorist is on the speedway. He is,n/a,on his way home from work.,is at the restaurant.,trying to find police cars.,walks his cat.
n/a,We realized that the paper this morning was full of old uninteresting news stories. We decided to,n/a,throw it away.,scrutinize it to every last detail.,frame it to the living room wall.,fold it a few times.
n/a,Emma is a social worker who recently experienced harassment at work. She,n/a,confides about the ordeal in her partner,is crazy about shopping,is advised to not discuss it,is happy about it
n/a,People in Australia are fond of cricket. They,n/a,have had great players like Ponting and Gilchrist,watch it from the comfort of their palaces,would like Sachin to bat from their side,can't bowl in a straight line
n/a,Axiom says a square can be calculated by side times side. A square,n/a,with side equals 2 is 4,with side equals 2 is 5,with side equals 2 is 7,with side equals 2 is 6
n/a,Adam said that his phone battery had run out. This caused Alfred to,n/a,go to the store to buy another one.,try and catch it.,burn down a building.,instantly die.
n/a,An officer pulls over a speeding car. The officer,n/a,tells the driver to stay in the car.,asks the driver for racing tips.,gets into the car with the driver.,drives away in the car.
n/a,"Khaleed said, ""I'm in love with the moment"". He is often",n/a,talking about living in the present in his songs,known for being derogatory towards women and children who live in the moment,dreaming about a dystopian world where he is more outspoken and does not love the moment,smashing cakes on the faces of young girls during his concert
n/a,"Tina likes nuts, but she is full now. Tina",n/a,doesn't eat nuts now.,orders a bowl of nuts.,never eats nuts.,eats a lot of nuts.
n/a,A boy is running across a field. He,n/a,gets tired and begins to slow down. ,tosses and turns as he tries to fall asleep.,smiles because his shirt is bright red.,is trying to move as slowly as possible.
n/a,It is not safe to remove a brake from a bicycle because,n/a,you can't stop fast.,our glorious leader said so.,it's no style.,no one cares if you do.
n/a,Her friends got everything on a silver platter. Her friends,n/a,didn't have to work for anything,made sure they got anything they wanted on a plate,received their meal on an elegant platter,got their dinner on a silver plate
n/a,A dog is inside an airport. The dog,n/a,wags its tail.,makes money.,teaches a class.,shows the flight crew its boarding pass.
n/a,My friend had the hiccups. She,n/a,held her breath.,cried until they went away.,chugged water until she died.,thought she was going to die.
n/a,The yoga instructor wanted to increase attendance for their classes. The yoga instructor,n/a,offered free sessions to peak peoples interests.,stopped teaching yoga.,threw yoga balls at anyone who challenged her creative spirit.,balanced work life with her personal life.
n/a,A woman jumps out of a plane and pulls the rip cord. The woman,n/a,continues falling at the same speed since something went wrong.,flaps her arms like a bird to generate uplift and land safe.,catches the frisbee as she literally runs to the ground.,stays the whole day in the air.
n/a,"If one wants to get better at squash, one should",n/a,practice with a team.,eat squash.,look at a cook book for squash recipes.,play with squash.
n/a,That was so easy. some would say it was a,n/a,piece of cake,hard task.,fair game,tiresome burden
n/a,I went pumpkin picking with my boyfriend. I,n/a,took pictures of us with our pumpkin.,ate all the seeds.,picked and cut a watermelon off the vine.,smashed the pumpkins on the ground.
n/a,Joe said that the test was easy. This caused Bob to,n/a,study for other things instead.,run away in confusion.,instantly die.,think about his marriage.
n/a,Cycling is better than jogging. It is better because it is,n/a,safer for your knees.,very dangerous.,done underwater.,done on a treadmill.
n/a,"Fish live in water, lions cannot. This is because",n/a,fish have gills.,they can run fast.,water is a liquid.,they can fly.
n/a,A man skis down the slope as the wind whistles by him. The man then,n/a,"turns to his left, carving his edges into the snow as he maneuvers around the gate.",turns left in the snow as the gates ski right around him.,calls his mom to tell her that he has skis.,calls his mom to tell her he is skiing up a mountain.
n/a,This summer is way too hot.,n/a,I wish I lived in Alaska.,I wish I lived in Puerto Rico.,I wish I lived in Mexico.,I wish I lived in California.
n/a,"A man cleans a small board of wood with a cloth in a workshop. Then, the man",n/a,uses flannel to polish the wood board thoroughly.,serves the two shoes.,removes the ski and walks up before walking to the finished roof.,adds orange chopping brush.
n/a,A waiter serves the food onto the dining table. The waiter,n/a,then fills each wine glass with champagne,dumps a bucket of salt onto the served food,serves the food onto the dining table,eats the food that the guests had ordered
n/a,You want to learn how to create a website. You should,n/a,learn how to code,learn how to create a computer first,search the web how to learn,learn which websites are successful
n/a,The student studies for hours at the library. The library,n/a,has to close because it was too late and the student goes home to study more.,opens up a hot dog stand and has a party.,has to close because the student has been studying too much.,becomes a potato.
n/a,Joe said that the restaurant was bad. This caused Bob to,n/a,eat elsewhere.,instantly die.,take off his shirt.,attempt a handstand.
n/a,"At the concert,",n/a,security confronted a pickpocket.,a baseball team played catch.,the band drove home.,the crowd played on the monkey bars.
n/a,The counsellor argues that OJ had big hands which won't fit in the gloves. He,n/a,asked them to examine it,proceeded to dance in front of the jury,forgot to mention his birthday,didn't care about Nicole
n/a,"George H.W. and Barbara Bush spent more than seven decades of their lives together until her passing on April 17, 2018. George H.W.",n/a,grieved for his wife's death.,always eat breakfast with his wife.,had to live alone without her wife.,didn't expected his wife would die on April 17.
n/a,Rose is driving when it begins to rain. The rain,n/a,quickly turns into thunderstorms.,stops at a stop sign.,signals a left turn.,turns on the windshield wipers.
n/a,"Someone said ""home is where the heart lies"". He",n/a,believes you will always be happy when you consider a place home.,couldn't figure out where he dropped his heart before coming home.,wants you to lay your heart down at home.,says you need to leave your heart at home when you go out.
n/a,A police officer sits is on patrol. He,n/a,looks out for any problems in the community.,"writes a speeding ticket for himself, puts handcuffs on himself, and abandons his patrol.","finds a crime, but decides to eat a sandwich because it's bad to skip lunch while on patrol.","sends a cat to jail for no apparent reason, and ends his patrol."
n/a,Professor Downey has solved the most difficult NLP problem. He is,n/a,happy to have solved it.,sad that it was a difficult problem.,sad that he has solved the difficult problem.,very sad.
n/a,A woman walks through the store. Her,n/a,son keeps asking for candy.,shopping cart is made out of popsicle sticks.,grocery list is two hundred feet long.,grandma loves to bake pies.
n/a,The water in the glass was filled to the brim. The water,n/a,was colored red with artificial dyes.,was spilling its emotions to the other items in the refrigerator.,was drowned in the ocean later that year.,was splashing the orange juice while playing in the pool.
n/a,Today I learned money doesn't grow on trees. I,n/a,need to save my money.,climb the tree.,wasted my money.,bought more clothes.
n/a,It has been very cloudy lately. Ellie,n/a,thinks it will rain soon.,is going to take out the clouds so it's sunny.,needs her sunglasses.,is going to put the sun in the sky.
n/a,Sam said the test was a piece of cake. Sam,n/a,thought the test was easy.,ate some chocolate cake for the test.,found it strange the test was vanilla cake.,found the test very difficult.
n/a,"You should review the exam. Otherwise, you",n/a,can not pass the exam.,can get good grades.,can be satisfied.,can pass the exam.
n/a,Chris hated going to the local park with his dog. He was always worried because,n/a,his dog was much smaller than the others.,the dogs would always let their owners run without a leash.,the owners would always play in the mud.,the grass at the park would attack the dogs.
n/a,I saw my friend and called out to him. He,n/a,was so surprised he let go of his dog's leash.,waved back with three of his arms.,disappeared out of thin air.,responded in Klingon.
n/a,Many types of frogs are poisonous. An elephant,n/a,is not one of them.,can poison a predator with its tongue.,can blend in with its surroundings.,is one of them.
n/a,The woman stretches her arms one side first then the next one. The woman,n/a,"put her arms in front of her, then stretch out and turned around.","dismounts and do tricks and flip overboard, while still swinging.",dismounts her leg and stands on the bar.,finishes shaving and dries his face with his hands.
n/a,"I am hungry, so I should",n/a,eat food.,not eat food.,sing a song.,play football.
n/a,I am feeling clumsy today. I think,n/a,I didn't get enough sleep.,it is the end of the world.,have a lot of troubles.,I am secretly a panda.
n/a,A man jumps into the ocean. He,n/a,goes underwater cavediving,swims on the back of a shark and coordinates a flash dance with dolphins,swallows an entire school of fish,evaporates the entire sea
n/a,A dog runs across a field as a frisbee flies through the air. The dog,n/a,catches the frisbee.,scores a touchdown.,teaches a class.,makes money.
n/a,Jill had her head in the clouds while taking the test. Jill,n/a,was not concentrating on the test.,was focused on the test.,watched the movie Cloudy with a Chance of Meatballs.,flew an airplane in the sky.
n/a,A dog runs across a field as a frisbee flies through the air. The dog,n/a,leaps through the air and catches frisbee,is pooping on the ground,jumps and twirls,curls up next to the fire.
n/a,A girl polishes her car. It,n/a,has a new coat.,changes lanes.,stops at a red light.,signals a left turn.
n/a,John wanted to buy the new car but it costed an arm and a leg. John,n/a,couldn't afford the car.,cut off his arm and leg.,bought body parts.,decided to go for a run.
n/a,Nacho is a popular menu in Mexican restaurants. It,n/a,goes well with Salsa sauce.,is not a Mexican food.,is the owner's favorite food.,was served in Chinese restaurants.
n/a,"Joe tried not to tell the secret, but he wasn't good at that sort of thing, so he",n/a,let the cat out of the bag.,talked about how much he hates his family.,really enjoys the weather today.,instantly died.
n/a,He does not buy a humidifier. He,n/a,had one,doesn't like the taste of humidifier,is walking on the street,think it is raining outside
n/a,All my professors are nice except Professor ABC. Professor ABC,n/a,is very strict.,treats students very well.,has best teaching style.,is fair to all students.
n/a,Your best friends and you usually see,n/a,eye to eye,the worst in people,the best in people,god together
n/a,The student studies hard into the night. He,n/a,props his head up so he doesn't fall asleep.,told the customer that it would be $3.99.,throws a frisbee with his friend.,turns on his blinker and merges into the right lane.
n/a,She was drowning in a sea of frustration. To help the situation she,n/a,called a friend on the phone,dived deeper into the pool.,tried to swim out of the ocean.,drank some water
n/a,Alex bought a Christmas card from CVS. Alex,n/a,wrote a holiday message in the card.,started ripping the Christmas card into 100 pieces in front of the CVS employee.,threw the Christmas card at one of the CVS employees because he was suddenly angry.,immediately threw out the Christmas card into the trash can in front of CVS.
n/a,Two people are at a tennis court. They,n/a,start playing against each other.,cook dinner.,appear for a hearing and testify.,flee the scene.
n/a,"Joseph bought three tickets to the game, but he lost one on his way home. He",n/a,only has two tickets now.,has four tickets.,only has one ticket now.,has all three tickets.
n/a,A taxi driver pulls over for a client. He,n/a,asks him where they want to go.,will soon weave through traffic and give one million dollars to the client.,"turns the wheels, puts the car into park, and tackles the client.",will drive around the city at the speed of sound just to spite the client.
n/a,A bug that makes you ill is,n/a,a virus.,a wire.,an insect.,a glitch.
n/a,A plane starts in Germany for a ten hour flight. The plane,n/a,will fly to Chicago.,drives on the highway.,is build in a kindergarten.,has no engines.
n/a,I am a vegan. I like to,n/a,save the animals,run,eat steak,throw vegetables
n/a,"Books are good, but videos aren't. They are better because they have",n/a,better stories.,more fish.,more video.,more actors.
n/a,A man and his husband love each other. They,n/a,think the political climate makes this unacceptable.,think so.,begin to circumnavigate.,are not sure.
n/a,As Chris and Sam sprinted away from their attackers they kept turning around to get a better look at them. All of a sudden when looking behind him Sam,n/a,fell on the ground.,decided to stop for a beer.,decided that running looked uncool.,sent the attacker to jail.
n/a,The baby cried because her bottle was empty. It,n/a,was out of milk.,was out of alcohol.,needed more crayons.,needed more diapers.
n/a,A firefighter is at the station. He,n/a,waits for the next alarm.,"puts on his helmet, grabs a fire extinguisher, and has a dance party in the station.","stares at a fire hydrant, wondering its inner thoughts on water, and whether it would work at the station.","cleans the fire truck, removes the tires, and rolls them down the street, away from the station."
n/a,one plus fifty-two,n/a,fifty-three,two,one,four
n/a,Books like this are a dime a dozen. They,n/a,are very common.,are very rare to find.,cost 10 cents.,come in packs of 12.
n/a,Ella needs glasses. Ella,n/a,is having people over and wants to serve them drinks.,has twelve eyes.,drinks the ocean.,has no eyes.
n/a,Scott is an alleged criminal. He has,n/a,not yet been tried.,been found guilty.,certainly committed a crime.,been found innocent.
n/a,It's no fun to feel envy or jealousy because both make you feel,n/a,inadequate,efficacious,joy,happy
n/a,I saw the dog run down the street. I don't understand why my neighbor,n/a,doesn't just put up a fence.,chased the dog.,caught up with the dog and brought it back home.,ran away too.
n/a,The man put his shirt on and then his pants. He,n/a,then puts his belt on.,puts his pants on.,puts his shirt on.,then puts his underpants on.
n/a,The giraffe wanders around its habitat at the zoo. It,n/a,eats leafy greens from tall trees.,orders a burger and fries.,pays $7.00 for a ticket to the zoo.,turns on its blinker and merges onto the freeway.
n/a,Diana has to buy bandages for herself. She,n/a,gets them from a convenience store,buys bandages from a drug dealer,forgets about the bandages,goes to a store to buy water
n/a,The diplomat shakes the man's hand. The diplomat,n/a,asks him about climate change.,shoots the other diplomat.,signals left.,bites the man's hand.
n/a,Alex was in hot water with his computer science professor. Alex,n/a,was in trouble because he was caught cheating.,enjoyed the warmth of his hot tub.,got out of the water.,wanted the water to be cooler.
n/a,The librarian needed a way to organize their books. The librarian,n/a,decided to use the dewey decimal system.,pleaded with children in the library to be quiet.,provided books to children at a school.,read some of their favorite books for fun.
n/a,A mom is sitting at the top of a slide with her little baby. She,n/a,is contemplating going down for a while.,is standing at the pinata as she lays and picks up.,takes out a gift paper and puts the wrapping paper down in a pile.,pulls out the monkey handle.
n/a,"After smoking the whole bowl, Leanna was as high as a kite. Leanna",n/a,was incredibly intoxicated.,liked flying kites.,in a plane.,got her kite stuck in a tree.
n/a,"After scoring poorly on multiple exams, Harper wondered",n/a,whether he understood the material.,what the weather was like.,if he would be the top student in class.,if chicken wings were on sale at the supermarket.
n/a,The minotaur lives in a maze. He,n/a,is a fearsome monster.,often entertains maze enthusiasts.,is very hungry.,is very lonely.
n/a,The driver nears the stop sign and slows. The driver,n/a,waits his turn.,aims for another car.,drives onto the curb.,gets out of the car.
n/a,Storm clouds are rolling in. It,n/a,looks like it will rain cats and dogs.,rolls down the lawn.,is a sunny day.,will not rain today.
n/a,"While hiking in the woods, Jimmy began to feel thirsty. He",n/a,looked for a nearby stream to fill his water bottle.,pulled a soda out of a nearby stream.,pulled a soda out of his freezer.,took a drink out of his empty water bottle.
n/a,My brother is three years younger than me. I,n/a,remember being an only child before he was born.,feel jealous that I was always more successful than him.,will be forty when he is thirty.,wonder if his name is Henry.
n/a,Danny Ainge aims his dart. He,n/a,hits the bullseye.,throws it into someone's face on purpose.,shoots an arrow.,shoots a basketball.
n/a,A dog is leashed to a pole outside. The dog is,n/a,tied waiting for the owner,probably mad,probably a girl,at the north pole
n/a,The vegetarian decided cut off any animal products from their meals. The vegetarian,n/a,can now be considered vegan.,"will continue to eat milk, cheese and eggs, however.",enjoys eating the occasional pulled pork sandwich.,will regret their life choices as meat is very tasty.
n/a,Maggie has a dog who is as big as a horse. Maggie,n/a,had a really big dog.,rode her dog.,had her dog compete in races.,likes horses.
n/a,Timmy wanted a glass of milk. He,n/a,opened the fridge and took out a carton of milk.,got a carton of juice from the fridge instead.,emptied an entire gallon of milk into his glass.,drank a glass of water.
n/a,The girl is getting dressed in the morning. She,n/a,picks out a really cool hat to wear.,throws a frisbee with her friend.,goes to the bar in her favorite dress.,never uses her blinker when switching lanes.
n/a,"Sharing is caring, Alex shares food with the poor because",n/a,he like helping.,he is poor.,he hates the poor.,he does not care for the poor.
n/a,Tom went back home after having dinner with his colleagues. He,n/a,took a shower.,watched dinosaurs with his colleagues and their families.,jumped from the ground floor to the third floor in one second.,watched the sunrise with his wife.
n/a,A sailor is piloting his small sailboat across a lake. He,n/a,prepares to jibe.,participates in the cruise ship's dance party.,rotates the plants to more suitable soil.,disappears into thin air.
n/a,Joseph bought a dozen eggs and gives half of them to his neighbor. He,n/a,has six eggs left.,has no eggs left.,has a dozen eggs left.,is half an egg.
n/a,Teenagers confuse parents by calling drinking studying. If the students are not studying they are,n/a,Sober,Curling,Drunk,Jumping
n/a,Somebody tipped Kelly off. She,n/a,thanked that person.,sat in the chair and waited.,fell on the ground.,thought it was a good tip.
n/a,Alice was walking home from school one day after failing a test. Alice,n/a,was afraid to go home in case her parents beat her.,played with the children in the park,lost her phone and was searching for it.,decided to camp outside in the street.
n/a,The man with no legs wanted to go outside. He,n/a,gazed longingly out the window.,stood up and put on his coat.,prepared to make a really good taco.,Instantly died.
n/a,A meatball is perched upon a mountain of spaghetti. The meatball,n/a,was made of beef and pork.,saw my face and laughed.,exploded into a million tiny pieces.,rolled away by itself.
n/a,Superman was shot at by a bunch of armed mobsters. The bullets,n/a,bounced off his chest.,pierced his heart.,walked the dogs.,played a game of cards.
n/a,An astronomer is viewing a star through their telescope. They,n/a,adjust the focus to get a better look.,"hypothesize that the star is hotter than the Sun, and is likely made up of actual telescopes.","calculate the star's distance from Earth, and then falsely claim they never owned a telescope.","wonder if it is closer to Saturn, or Jupiter, and decide it is probably closer to planet telescope."
n/a,"Adam was playing cards with Bob and was way ahead. If Bod hadn’t had a sudden run of good luck, he would have",n/a,lost,defeated Adam,passed out,won
n/a,A loving couple is kissing each other. The girl,n/a,holds the boy's hands,hugs the boy's money,becomes a wife,is eating happily
n/a,Johnny's hands were cold when he walked outside. I,n/a,said he should have worn gloves.,think he likes the color blue.,like eating pie.,told him to put ice on them to make them warmer.
n/a,I do not work on vacations. I am on vacation so,n/a,I should enjoy.,I should work more.,I should work hard.,I should attend a meeting.
n/a,The headphones are playing music from a known band. The headphones,n/a,are black.,are on fire.,are hot.,is liquid.
n/a,Among deep purple and azure wildflowers lay a sprinkling of,n/a,snow,TV,purple and azure elephants,computer
n/a,"Joe just scored the winning goal. As a result, he",n/a,jumped for joy.,punched his teammate.,shook his head.,cried in pain.
n/a,Jeff makes a character with high intelligence in World of Warcraft. His character,n/a,is a wizard.,is Thomas Edison.,speaks in brownies and chocolate.,has had bad experiences with Chipotle.
n/a,The professor glances hopelessly around the room. The students,n/a,are all texting.,are all eating apples.,are all listening intently.,are all furiously scribbling notes.
n/a,The girl is reluctantly doing her homework in the library. The girl,n/a,does not understand the content.,is in a good mood.,loves doing homework.,is an exceptional student.
n/a,John's program stopped working.,n/a,the program has an error.,the program wants something new to do with it's life.,the program and john are having a dispute,The program took the day off.
n/a,A man is flying a dragon-shaped kite.  He,n/a,works the lines to make the dragon do long loops through the air.,draws his sword and begins to attack the dragon.,puts mustard on the hot dog and hands it to the customer.,finishes mowing and begins weeding the garden.
n/a,John is at his apartment door with his key that fits. He,n/a,opened the door with his key.,keyed someone's car,called his roommate for help.,opened a lock with his key.
n/a,He left the bread in the fridge too long. So it became,n/a,really dry.,really delicious.,really moist.,really hot.
n/a,"At the stoke of the midnight hour, Pt. Jawaharlal Nehru said, ""India will awaken"". And the next day",n/a,India got its independence after a hundred years of British rule,it was cold and snowy and the visibility decreased in the mornings ever since,it was an Indian captain who lifted the world cup after twenty six years,"the USA sent its troops to India in search for culture and values, something that the people of USA had never experienced"
n/a,Elephants are more dangerous than lions. They can,n/a,trample you.,pounce on you.,swim very fast.,bite and kill you with sharp teeth.
n/a,A professor is at the post office. He,n/a,picks up his mail.,makes money.,meets the mayor.,teaches a class there.
n/a,The duck waited to cross the road with its family. The duck,n/a,escaped a near collision.,was next in line at the DMV.,was prepared with soy sauce at the restaurant down the street.,patiently created a hybrid at the intersection.
n/a,John found a purse full of cash at the bus stop. He,n/a,waited for the owners.,cried.,adopted a dog.,bought this bus stop.
n/a,A butler brings in the wine. He,n/a,has been with the family for forty years.,"has proper etiquette and dresses nice, just like a penguin or a bottle of wine.","serves the guests, then smashes one over the head with the bottle of wine.","sets the wine down on a table, then jumps out the window after drinking the entire bottle of wine."
n/a,Evan is a fireman. Evan,n/a,often sets off in hurry,often looks after his patients,often sets fire,often teaches his students
n/a,"Arnold hates going on school trips. When Mrs. Frizzle announces that the class is going to Hawaii, Arnold",n/a,says he should've stayed home from school today.,cheers with the rest of the class.,puts on his swimtrunks and googles.,tells his parents.
n/a,The girl leaves her jacket on the heater. It,n/a,starts a fire.,explodes.,turns into a down jacket.,shrinks into a tiny ball of cloth.
n/a,Johnny wants to go to Korea but lost his passport. He should,n/a,get a new passport,buy a ticket to Korea and travel there,get on a plan to go to Korea,pay someone to fake a passport
n/a,A lady walks up to watch the drummer play. The drummer,n/a,plays a solo on the cymbal.,listens to the artist's music.,begins to play the guitar.,moves while playing the accordion.
n/a,A woman gets to work early and drops off her briefcase. She then,n/a,makes small talk at the water cooler.,drives home through traffic.,microwaves her lunch.,lays down to watch a favorite show.
n/a,Diana knew that the project would be a piece of cake. Diana,n/a,knew it would be easy.,loved to eat desserts.,baked pastries for a birthday.,opened a bakery.
n/a,A woman gets to work early and drops off her briefcase. She then,n/a,makes small-talk at the water fountain.,microwaves her lunch.,lays down to watch a favorite show.,drives home through traffic.
n/a,He wolfed down the entire chicken nugget and almost growled in appreciation. He then,n/a,saved the rest for later to give to his coworker who wasn't hungry when he asked earlier.,marked his territory on the forest floor because he was full of chicken nuggets.,ate an entire chicken whole.,joined a wolf pack to share the chicken nuggets.
n/a,"The boy likes riding bikes, but only at places near home. He",n/a,feels unsafe at far places.,"likes riding bikes in random places like in mountains, and not near home.",likes machine learning.,likes sciences.
n/a,Elizabeth harvested tomatoes from her garden. Elizabeth,n/a,ate the tomatoes.,started a conversation with the tomatoes she harvested.,ran away from the garden in fear because she was terrified of the tomatoes she harvested from her garden.,punched her friend who was also in the garden in the face while grasping the tomato she just harvested.
n/a,"Two men are holding swords in a field, facing each other and looking intense. They",n/a,begin fencing.,begin ice dancing.,begin to discuss politics in a civil manner.,become as flat as a pancake.
n/a,"During the football game, the mascot dances",n/a,amongst the seats.,as he curls up near the fire.,in a salsa.,while curing cheese.
n/a,The seniors at the assisted living center were having their weekly Board Game Night. The seniors,n/a,slowly discovered that Joe was using weighted dice.,never took their medicine and it made them live forever.,"realized that Joe was cheating in bingo by using playing cards that were actually from Uno, the family friendly game.",played bingo while sitting on a house made of cards.
n/a,The men are attending a prayer. The men,n/a,are sitting at a mosque.,studying about prayer at their school.,are on the way to the party.,eating together very happily.
n/a,My brother asked me to bring him something to write on. I,n/a,brought him a pen and paper.,got him a pair of night-vision goggles.,bought him a new anaconda.,refused to buy him a new pair of pants.
n/a,A college student was working on an overdue term paper. She turned it in,n/a,after the deadline.,before the deadline.,to the professor.,at the deadline.
n/a,The ants are marching across the tile. They,n/a,are carrying food to their home.,want to be able to become the next humans.,want to get stepped on.,want to be their for their owners.
n/a,Two friends are looking at cakes in a bakery. They,n/a,order a cheesecake.,start throwing water at each other.,pay the bartender for the cake and leave the pub.,run a marathon.
n/a,Bob used to love running until he lost his legs in an accident. He,n/a,feels sad when he sees runners now.,still runs a lot.,runs marathons now.,does hurdles now.
n/a,can i get grade a?,n/a,it depends on my performance.,travel!,sing a song!,get out!
n/a,"Unlike my friend, I am sick today. My friend",n/a,is bringing me soup.,is out partying.,is also sick.,is taking medicine.
n/a,"The heating in my room doesn't work, so I",n/a,feel very cold.,am in a high mood.,open my computer.,go to sleep.
n/a,Peter is playing a board game with friends. He,n/a,rolls the die.,curls up into a ball.,jumps around.,does a backflip.
n/a,I run into my physical therapist at a cafe. My physical therapist,n/a,is getting coffee.,is giving a session.,gives me an injury.,is my patient.
n/a,"Kelly kept on exercising during her pregnancy, so she",n/a,Gained less than 20 pounds during that 9 months,Gained more than 20 pounds during that 9 months,lose less than 20 pounds during that 9 months,lose more than 20 pounds during that 9 months
n/a,Don't cry over spilt milk. Just,n/a,move on with your life,spill more milk.,eat some frogs.,keep crying
n/a,We got a kiwi for our dog from,n/a,The produce isle.,The Pet store.,New Zealand,The Grocery store.
n/a,The driver puts on his seatbelt. The driver,n/a,turns the key.,starts the seatbelt.,destroys the ignition.,gets out of the car.
n/a,I like my father but my mother hates him ever since their Divorce. She loves my step-father though. My father is my mother's,n/a,Ex-husband,husband,father,Friend
n/a,"Northwestern University is a great school, so I",n/a,should apply there,should move to California,go to Northeastern instead,should not go to a University
n/a,I have never met my second cousins. They,n/a,live far away.,are vegetarian.,come to Thanksgiving every year.,love cats.
n/a,"January is the coldest month in Chicago, because",n/a,other months are hotter than January.,other months are colder than January.,January is the hottest month in the year.,Chicago is colder than New York.
n/a,"After studying all night, a group of students were preparing to",n/a,take a test,join a cult,sprint,fly out the window
n/a,The politician is on a rally. He,n/a,is enticing the crowd to vote.,makes the public go crazy standing next to his car for the rally.,is the driver for the Paris-Dakar rally.,"is preparing his car for the rally, with radical left and right curves."
n/a,Mark forgets the password on his computer. He,n/a,resets his computer.,asks a bird to tell him the password on his computer.,looks at a documentation of a list of ids.,breaks his computer.
n/a,I buy the humidifier because,n/a,I have dry skin,it's raining outside,it's cloudy outside,I have oily hair
n/a,"It was Christmas Eve and in the North Pole, Santa was",n/a,loading his sleigh.,getting ready to hibernate.,petting a camel.,eating Rudolph’s daughter for dinner.
n/a,The politician really wanted to win their campaign for governor. The politician,n/a,took counsel from professional advisers. ,took bribes and attacked people physically.,talked frankly and honestly about their love of financial meltdowns.,committed them self to helping other people steal from taxpayers.
n/a,"Jim says ""it's raining cats and dogs!"" Jim",n/a,grabs his umbrella.,is concerned the cats and dogs will get wounded.,takes the cats and dogs to the animal shelter.,tries to save the cats and dogs.
