id,question,concept,true_answer,wrong1,wrong2,wrong3
n/a,Jimmy felt that his hands were sticky. He,n/a,rinsed them in the sink.,washed them with glue.,pasted them onto a wall.,showered under a waterfall.
n/a,The right-leaning man didn't like the left wing. He,n/a,would never vote for a progressive.,flew his plane unevenly.,always gave the right wing presents.,bought a company that manufactured right wings.
n/a,Kelly went bananas. She,n/a,jumped over the table.,bought some fruits at a market.,ordered a fruit milk shake.,walks to her car.
n/a,A dog stares out the window. He,n/a,sees the neighbors across the street and wants to say hi.,wants to write messages in the window fog.,is waiting for the mailman to bring him his paycheck.,is longing for the better days of his youth.
n/a,A man places a basket of fruits on the table. He,n/a,wishes his family would eat better.,smashes the basket with a gallon of milk.,is the fruit of a happy marriage.,will wait for the basket to ripe and become froot loops.
n/a,A team of anthropologists uncovers a mummy in a tomb. The mummy,n/a,doesn't move.,performs an anthropology experiment.,thanks the anthropologists.,congratulates the anthropologists.
n/a,The dog excitedly jumped out of the car window as they pulled up to the dog field. The dog,n/a,then sprinted towards his friend.,likes being a dog.,owns the field.,hates the field.
n/a,I am getting gas in my car. I,n/a,look for the cheapest option.,drive away from the gas station.,realize I have to buy a car first.,put the gas nozzle in my mouth.
n/a,The florist needed to find a new supplier of daisies. The florist,n/a,used the phone book to find some new contact information.,picked sunflowers on their walk home.,sold sophisticated floral arrangements  in her store.,took a trip to Florida.
n/a,"Sam lives in America and is talking on an international call with Joe, who is a Canadian. Sam",n/a,lives in America.,"lives in Mumbai, India.",lives in Canada.,lives in Chicago.
n/a,"Peanuts are nuts, all nuts are food. Peanuts",n/a,are food.,are rubbish.,are not food.,are not nuts.
n/a,A group of dogs are running around a race track. The leader,n/a,digs in for the home stretch.,digs in the sand playfully.,computes the derivative of the inside function.,catches a frisbee in its mouth.
n/a,Justin is at a swimming race and gets ready. He,n/a,waits for the start sound and prepares,can't wait to start jumping into the pool,swims into his dreams,waits for his mom to watch him swim
n/a,the presentation is a bomb. the presentation,n/a,is awesome.,is really bad,tells a story about bomb.,cause bomb
n/a,The girl just finished a chemistry lab at her university. She,n/a,goes to write the report.,is seven years old and wants to be a scientist when she grows up.,starts cooking dinner on the Bunsen burner.,is wearing a swimsuit.
n/a,I trained my parrot to fix my resume. He,n/a,just repeated what I said to it.,referred me to a coworker of his who specialized in economics.,told me to organize a portfolio of my past works.,helped me get many job offers.
n/a,I used a telescope with,n/a,a lens.,under the planet’s surface.,something that is close.,something far away.
n/a,The child went out for his first halloween. He,n/a,got candy,bought some spiderwebs,went to class,got coffee
n/a,I am a student studying journalism at Northwestern University. I,n/a,write an article for a course,can't wait to buy a new house.,will find that the steak is too raw.,am going to take a class on nuclear physics.
n/a,Tina wants to improve her Math grades. Tina,n/a,works hard.,spends a lot of time playing games.,never attends class.,likes shopping.
n/a,Today my classmate asked an intriguing question. He,n/a,has a deep understanding of the material.,is really good at soccer.,is secretly the teacher.,stood upside down.
n/a,An author types away at his keyboard. He,n/a,prints out his work to check the grammar.,"says to the customer, ""Do you have a membership card with us?""",throws a frisbee with his son.,pulls into the left-turn lane and puts his blinker on.
n/a,Rose tucks her two children in for bed. She,n/a,reads both of them a bedtime story.,kisses all three of them goodnight.,wishes she had children.,has only one child.
n/a,Sarah showed up late for her interview. The,n/a,alarm wasn't set properly.,resume submitted her.,interviewer was so impressed by her.,job wasn't for her.
n/a,"A woman is making a tequila sunrise. After putting ice in the glass, she",n/a,mixes in liquor and juice.,watches the sun rise on the beach.,puts ice in the glass.,pours the ice out of the glass.
n/a,A banker sat in the courtroom. She,n/a,was indicted for defrauding customers.,ate an expensive banana.,counted her money and opened a savings account.,spun around three times and cast a spell.
n/a,Bob tells his best friend Sally that he has a crush on her. She,n/a,smiles.,decides she has to do her homework.,has a heart attack.,starts screaming because she actually hates him.
n/a,Kelly is decorating her house and wants to jazz things up a bit. She,n/a,adds in some flower pots.,goes to a jazz club.,loves the 80s.,bought a saxophone.
n/a,An old man rides a small bumper car. Several people,n/a,are watching him maneuver his car smartly.,are minding their own business.,get in the parking lot.,are trying to take him out and fly away in his car.
n/a,A boy has three yellow objects. They,n/a,are bananas.,are eggplants.,are blades of grass.,are footballs.
n/a,He dribbles the basketball carelessly. An opposing player runs towards him and,n/a,steals the ball.,dives.,trips and falls.,tackles him.
n/a,The exam went horribly. I didn't even know,n/a,how to compute the derivative,what my name was,who was in my blind-spot on the road,what I ate for breakfast
n/a,The toddler enters the baseball stadium in a pram. She,n/a,looks delighted at posters.,swims a mile.,runs a mile.,hits a home run.
n/a,The girl jogs across the field as a soccer ball rolls toward the opponent's goal. The girl,n/a,sprints to the ball and scores a goal.,does a victory dance because she has scored a goal.,leaves the field to get a drink of water from her water bottle.,receives a trophy for winning the game.
n/a,A man is walking to the store to purchase flour for a cake that he is baking. He,n/a,finds the aisle and purchases a pound of it.,mixes all of the ingredients in a bowl and puts them into the oven.,goes outside to pick flowers.,jumps across the busy highway.
n/a,"Someone examines herself in the mirror and smiles. Sitting on her bed, she",n/a,glances at the alarm clock.,pours as the heroes even lighter.,tugs out her bonds.,stuffs her chair under the sink and looks through it.
n/a,The man is at the podium of a spelling  bee. The man,n/a,presents the prize.,kills all the bees.,gives honey to all the children.,loves to eat honey.
n/a,The trophy did not fit in the bag. The trophy,n/a,was too big.,was too heavy.,was too small.,was too gold.
n/a,A woman owns one cat and two dogs. She,n/a,needs to feed all three pets everyday.,needs to feed all five pets everyday.,needs to feed all four pets everyday.,needs to feed all two pets everyday.
n/a,A gamer cracks his knuckles and looks at his tv. The gamer,n/a,picks up his controller.,looks at a road sign and follows it.,screams for help.,takes a bite from his hand.
n/a,The parched man could not find any water in the desert. He,n/a,collapsed,ordered a soda at the vending machine,drank two gallons of water,decided to eat some sand
n/a,I have a younger brother. He,n/a,will be five when I am eight.,is my favorite son.,does not have any siblings.,will be eight when I am five.
n/a,A man leaps through the air as the hurdle passes below him. The man then,n/a,lands on the track and stays in his lane attempting to edge past the other racers.,calls his mom to tell her he is in a hurdling race.,calls his mom to tell her he likes to leap.,calls his mom and tell her he just jumped a hurdle.
n/a,A man in red and white runs down a track and performs a high jump. The camera,n/a,follows the athlete.,is lowered and covered by a hand.,goes to the table and lands in time.,sprints down the track.
n/a,"Molly was very hungry when she left work at the end of the day. Thus, Molly",n/a,stopped at the grocery store.,ate her books.,ate her arm.,ate her car.
n/a,A cat died in a car crash. His owner,n/a,was angry at the perpetrators.,felt sad for himself.,celebrated for the cat.,cried for the dog.
n/a,Thomas hates dogs. He goes to the animal shelter to adopt,n/a,a cat.,a beagle.,a husky.,a dog.
n/a,I observed the gymnast eating a donut in the park. I,n/a,asked him where he got it.,did a backflip into the bakery and demanded that I have the same donut.,knew something was fishy when he grew to be ten times the size of a normal human.,"did a flip off of a balance beam, landing perfectly."
n/a,i forgot to bring my computer so i can not see your,n/a,email,programming course,gift,operating system
n/a,"In the heat of the moment, he unfortunately",n/a,made the wrong decision,decided to go to Florida,went to sun,felt very good
n/a,I hardly have no money because I,n/a,am rich,am never rich,always have no money,am not rich
n/a,"Although Tom was overwhelmed and thought that reading a thousand pages a week was unimaginable, he",n/a,finished the task finally.,was sent to the hospital because he became crazy.,shredded the books and burned them.,left school and found a job.
n/a,A hungry boy is greeted by a very friendly man. The boy,n/a,is given food and some money by the man.,is told to stop being hungry by the man.,is told to get lost by the man.,is harassed by the man.
n/a,Kelly is a potato couch. She,n/a,needs to exercise more often.,rolls around.,recommended me this pretty couch.,is buying chips.
n/a,"If Marry exercised every day, marry would be so fit. Marry",n/a,is not fit.,is fit.,does not exercise.,eats a lot.
n/a,I am on a walk in the park in the winter.,n/a,I pull my hat down over my ears.,I lay in the grass and bathe in the sun.,I look around and smell the flowers.,I stare at the leaves on the trees.
n/a,"Unlike Bob, Sarah is smart. Bob",n/a,is stupid.,is smart.,is beautiful.,is unlikely.
n/a,A girl is reading a book on unicorns on her porch. The girl,n/a,decides she likes dragons better.,flies through the door.,sees a unicorn in her backyard.,is approached by a fairy.
n/a,The construction worker was reprimanded for not wearing his hard hat. He,n/a,understood the stupid risk he took.,wore it to the Oscar's afterparty.,wanted to let his hair flow down the tower.,forgot that his hat was at the game.
n/a,A group of children play in the middle of the street with the fire hydrant spraying. The firemen,n/a,wanted them to stay cool.,rescue a cat from a tree.,are shooting a calendar for a fundraiser.,help to put out the forest fire.
n/a,Steve said the test was easy. This caused Larry to,n/a,study less.,get a haircut.,kiss Steve.,eat the test.
n/a,"Tina likes swimming, but it is freezing outside. Tina",n/a,stays in home.,sunbathes in the yard.,swims outside.,wears a bathing suit.
n/a,Bob was playing video games when he was supposed to be studying and heard his parents come home. Bob,n/a,ran to his textbook.,stuffed himself full of cake.,will buy a lot of video games tomorrow.,threw the game controller out the window.
n/a,"Ketchup dates back as far as 1600 AD, when sailors traveling to China discovered a sauce called ketsiap. It",n/a,was made out of soy or oysters and didn't contain tomatoes.,quickly changed ingredients to include mashed cotton and sweet pepper.,began the transformation to today's sweet potato in the late 1700s.,was easy to make ketchup boats during that time.
n/a,The sun is frying me. I,n/a,need sunscreen.,want fries.,rolls on the ground.,will go to a fast food stand.
n/a,The family has a picnic. They,n/a,eat sandwiches.,catch a squirrel for lunch.,cut down an apple tree.,ask the waitress for two salads.
n/a,The printer got jammed after printing 20 documents at once. The printer,n/a,needs fixing,printed 20 more documents,documented the jam,likes toast with its jam
n/a,He is one of the famous singers in my country. He,n/a,is not only a composer but a dancer.,could not sing very well.,may sing in a terrible way,could not sing in the midnight.
n/a,A woman decided to check the weather. She,n/a,checked her app.,asked her TV to ask the local weatherman.,wrote out a check to it.,Looked outside to see the temperature.
n/a,"John did not want to socialize with the other students, so he",n/a,sat at home alone.,performed well in his classes.,joined a student club.,went to a party.
n/a,The man was reading a book in the park. He,n/a,was sitting on the ground.,paused his movie.,parked his car on the book.,fought his librarian for her mercedes.
n/a,"It was Christmas Eve and in the North Pole, Santa was",n/a,loading his sleigh.,petting a camel.,getting ready to hibernate.,eating Rudolph's daughter for dinner.
n/a,A fish swims in circles around its small tank. The fish,n/a,does another lap.,swims upstream.,is delicious.,are delicious.
n/a,"Bob and his wife have a huge fight. That night, Bob",n/a,sleeps on the couch.,runs away from home.,rolls around in the grass.,peels an orange.
n/a,Ellie goes to the mall. Ellie,n/a,buys a bag.,goes to the mall with dead Abe Lincoln.,rides her dog to the mall.,counts to 50.
n/a,A girl starts hormone treatment. She,n/a,is transitioning.,is thinking about going to school to become a police officer.,wants to be on stage.,feels claustrophobic.
n/a,Rose is walking around her house looking for her pet cat. Rose,n/a,is worried.,has no pets.,has a collar around her neck in case she gets lost.,likes to play with yarn.
n/a,A large group of photographers watch and take photographs of the gymnast. The gymnast,n/a,waves while spinning in a circle and then runs to the side of the gym floor.,is seen performing a game routine in front of the marching band.,stands on the hula bars and attempts back flips and jumps in the air.,chases after the gymnast and spins with the rake.
n/a,A dog runs across a field as a frisbee flies through the air. The dog,n/a,Goes and catches the frisbee,Curls up next to the fire,"Jumps, spins, and twirls",Is pooping on the ground
n/a,All my siblings are nice except Rob. Rob,n/a,annoys me a lot.,is kind to me.,is always nice to me.,is very sweet to me.
n/a,The girl confessed her love to the boy. The boy,n/a,gave an indefinite response about his feelings,came clean about how he ate all the cookies,ran downstairs to open the door,ran to his room to check the letters to see whether or not he was rejected
n/a,"we are from different countries, i am from china and she is from",n/a,japan,china,beijing,shanghai
n/a,The girl rides the horse as fast as she can. She,n/a,has to reach her parents' house by midnight.,puts on her blinker and merges onto the freeway.,"pets her dog every hour, religiously.",plays catch with her friend.
n/a,I fell for this girl I met last weekend. She,n/a,wasn't interested.,picked me up,attacked me.,ran away.
n/a,I like all chocolates except Toblerone. I,n/a,hate Toblerone.,Love Toblerone.,like trees.,like Northwestern.
n/a,I have a paper thin blanket over me. It,n/a,is not too warm.,feels extremely warm.,makes me some hot chocolate.,holds paper.
n/a,The man enter his house. The man,n/a,takes his shoes off.,can't find the keys to unlock the door.,goes to school at his university.,eats the garbage.
n/a,The dog in the park barked at the intruder. The dog,n/a,ran up to him.,chased a squirrel.,dug a hole in the park.,chased his tail.
n/a,Tom is in first place and 11 people pass him. Tom,n/a,is in twelfth,is in 1st place,in the lake,is in 11th place
n/a,"Brian is going on a date with Jacob, Jenny's brother. Jenny",n/a,is happy to see them together.,is two years younger than Jacob.,likes to go on dates with people.,is going on a date with another Brian.
n/a,Two kids are at the park. They,n/a,jump rope.,park their cars and go inside.,don't know how to parallel park.,go swimming in the sandbox.
n/a,There was a crane by the lakeside. The crane had,n/a,beautiful feathers.,a phone.,a computer in it.,a man operating it.
n/a,"Sally asked Tom not to have a cow, but Tom",n/a,could not help but overreact.,desired nothing more than large mammals.,hates Sally.,needs cows in his life.
n/a,Jenny is a famous clothing designer and model. She,n/a,is an expert in her field.,is not beautiful.,is an assistant to famous clothing designers and models.,has bad body image.
n/a,The medical diagnostic test came back negative. The patient,n/a,is relieved.,wrote a bad essay.,took an examination.,answered correctly.
n/a,I tried to maintain the facade that I had not lost my job. My father,n/a,saw through the ruse.,offered to give me his hammock.,told me to walk our three-headed dog.,took my temperature with telekinesis.
n/a,Sally gave Monica the cold shoulder after she made fun of her last week. Sally,n/a,ignored Monica.,was cold and covered her shoulders to keep herself warm.,hung out with Monica.,had fun with Monica.
n/a,Bob is playing squash with his girl friend and decides to get dinner. He,n/a,buys squash and makes a meal out of it.,starts texting his girl friend.,makes a meal with his dog.,eats his racket.
n/a,Ellie got fired. Ellie,n/a,looks for a new job,dies in a fire,starts a forest fire,eats fire
n/a,The dog cannot bark. The dog,n/a,gets surgery for its throat.,barks quietly.,barks loudly.,barks.
n/a,A man vacuums his carpet. His,n/a,parents are visiting soon,living room couch is very comfortable.,apartment has very reasonable rent.,windows are very dirty.
n/a,Joseph is short. He,n/a,is under 5 feet.,is tall.,has no hair.,is not athletic.
n/a,Woman is laying on the floor doing abs. the woman,n/a,is doing static bike on the floor.,looks around and wraps her baton around the neck.,smiles and stands in front of a car.,is in a guitar with her dog.
n/a,"After a long day of work, Frank just wanted to sit on the couch and watch TV. As he sat down and picked up the remote",n/a,he heard his kids calling his name for homework help so he ran and hid.,the TV picked up the remote.,the chair picked up the TV.,the tv picked up the chair.
n/a,I woke up for breakfast. My dad was cooking this morning. I could smell,n/a,the bacon,the flowers in the town park,carbon monoxide,the tension
n/a,A man hangs at the edge of a cliff. He,n/a,climbs up back onto the ledge.,does a pull-up with one finger.,falls down on purpose.,jumps up onto the top of the Mt. Everest with a single leap.
n/a,"Down by the bank, there were many turtles. They",n/a,want food from my bag.,need money from the locked car.,want my great grandma's pie recipe,will take my best friend.
n/a,Two leaves fall into the stream. The water,n/a,flows around the rocks.,drips from the faucet.,is starting to boil the pasta.,makes the road very slippery.
n/a,Ted was on cloud nine after his date. He,n/a,had not been this happy in a very long time.,had climbed a very long ladder to get this high.,was on a flight back home to Vermont.,did not like the other eight clouds.
n/a,The lion attacks the deer. The lion,n/a,bites its neck.,is wounded.,dies.,battles the deer for hours.
n/a,I applied to Northwestern University. They,n/a,accepted me because I stood out from the other applicants.,offered to pay for my tuition in full provided I solved P vs. NP by the end of my undergraduate studies.,accepted me because I bought the rights to the land where the University is located.,accepted me because I had the exact same DNA as one of the original founders.
n/a,"I can't believe that after waking up, all he wanted",n/a,was more sleep.,after drinking coffee was a glass of orange juice.,to do was wake up.,was a hearty chuckle.
n/a,The man had to wait in line on a customer service call. He,n/a,was holding for a long time.,called on other customers to call on his wife.,was trying to sleep.,serviced his car.
n/a,A group of sailors are in a race yacht and there is a massive storm. They,n/a,try to balance the boom and the mainsail.,watch the beautiful calm waters of the Pacific Ocean.,prepare the fishing equipment to catch fish.,watch the beautiful sunset on the hull.
n/a,A man is sitting on a park bench peeling a banana.  He,n/a,tosses the peel into the trash can and begins eating.,throws the peel hundreds of yards away.,re-affixes the peel and returns the banana to the grocery store.,eats the peel and sets the banana on fire.
n/a,The children divided 5 by 5. They held up,n/a,1 finger.,eleven fingers.,13 fingers.,12 fingers.
n/a,"While recognizing that he lived in a dog-eat-dog world, John nonetheless",n/a,was not comfortable being ruthless.,did not own a pet.,felt compelled to lie to the police.,had no appetite for dog.
n/a,Joseph wants to know the harm of smoking cigarettes. He,n/a,does research on the effects of tar.,knows the harm of smoking cigarettes.,asks cigarettes about the harm of smoking cigarettes.,goes out and tries smoking a cigarette.
n/a,Tina can not cook. Tina,n/a,always goes to restaurants to have dinner.,plans to cook a meal for her mother.,can cook.,cooks a big meal for her friends.
n/a,Martha is making breakfast. Martha,n/a,beats some eggs,eggs her house,cooks up a hot track in the studio,eggs her kitchen
n/a,"The large, strange dog tackled the man from behind. The man",n/a,covered his head and rolled up in a ball.,caught fire.,backflipped three times and entered the olympics.,pet the dog.
n/a,The woman and her daughter were happily strolling through the park. The woman,n/a,was smiling.,gave people passing by dirty looks.,yelled at her daughter for talking.,turned around and went home.
n/a,A man lost a bet to his friend. His friend,n/a,told him to pony up the cash.,met his birth mother.,gave him a high five.,was diagnosed with a terminal disease.
n/a,There is a fly in the house and Joseph wants to kill it. He,n/a,sprays insect spray in the house.,flies to Korea without any flies.,tells the fly to kill himself.,kills a wizard so that he can fly.
n/a,The cat runs across a field. It,n/a,circles the area.,scores a point.,scores a touchdown.,hits a home run.
n/a,An astronaut returns home from his year-long space mission. He,n/a,hugs his wife and daughter.,floats off into space.,does a backflip and lands on Pluto.,watches Michael Jackson videos and ends up on the moon.
n/a,A painter picks up their paintbrush. They,n/a,imagine their next masterpiece.,"set up their canvas, which is shaped like a four-dimensional paintbrush.","mix their paints, walk outside, and throw their paintbrush.","visit the art museum, eat a burrito, and step on their paintbrush"
n/a,I saw IBM Watson on TV the other night. I,n/a,don't watch Jeopardy often but this was a software outperforming a human being!,thought Watson was scratching his nose too much.,ate some walnuts.,am feeling hungry.
n/a,John scored the wrong soccer goal. His team,n/a,was very angry at him.,gave him ice cream.,cheer him on!,held him on their shoulders.
n/a,Bill knew he shouldn't burn bridges with his ex girlfriends. Bill,n/a,continued to work on his relationships with them.,set bridges on fire.,cooked marshmallows during a camping trip.,saw a car on fire under a freeway overpass.
n/a,"After a powerful windup, Anna hurls the baseball toward the batter. The batter",n/a,jumps back to avoid being hit by the ball.,catches the ball.,throws the bat at Anna.,drops the bat and runs out of the stadium.
n/a,The fifth letter in the alphabet is,n/a,e,a,c,b
n/a,She is a very patient person. She,n/a,always takes the time to understand someone else's perspective.,has an illness that must be treated.,is at the hospital with a doctor.,takes a long time to do simple things.
n/a,He chews some gum and looks resentfully around the bar. He,n/a,takes in the usual collection of festive social drinkers out enjoying a christmas drink.,arrives two rows shots.,is on his coffee table.,lets go of a boom looking from the school turret.
n/a,I enjoy seeing my enemies fail. The,n/a,schadenfreude is real.,high school musical proceeded without fail.,dog stood next to its owner and let the children pet its head.,nice lady at the counter gave me a burrito.
n/a,Juice was brutally hitting Nicole when she called emergency line. He,n/a,cleaned up the room immediately,did the laundry,fed the kids,loved noodles
n/a,I scared my friend by suddenly tapping her on the shoulder. She,n/a,jumped out of her skin.,was like a bull in a china shop.,called the mafia.,threw me 600 feet away.
n/a,The dog is running. The dog,n/a,gets tired.,buys running shoes.,buys a hot dog.,isn't running.
n/a,The girls were unable to attend the school dance. The girls,n/a,were busy.,organized the school dance.,had a lot of free time.,finished their homework.
n/a,Antifax drives his numerous slaves to auction. Antifax,n/a,lives with the weight of the blood on his hands.,asks them if they would like some lemonade.,signals left to change lanes.,is very hungry.
n/a,Larry watched a video while doing his homework. Larry,n/a,took a long time finishing because he was distracted.,turned off his homework.,turned in the video for a grade.,cancelled school.
n/a,Most academics are familiar with the website Google Scholar. It,n/a,is the go-to place for searching publications,is concerned about your health and you should be responsible,has some health issues but it doesn't want to get treated,is smart and won many awards
n/a,A plant that makes green paint is a,n/a,factory.,tree.,ground.,informant.
n/a,A pride of lions closed in on gazelle along a riverbed. They then,n/a,killed and ate its carcass,prepared the dining table,sunbathed and purred along the riverbed,drank water in the river with the gazelle
n/a,A remote falls between the cushions. The remote,n/a,changes the channel.,moans in pain.,asks for help.,speeds up.
n/a,"Switzerland is a good place for vacations. So, we should",n/a,visit Switzerland.,not plan our vacation in Switzerland.,not go to Switzerland for our vacations.,buy Switzerland.
n/a,A bird flies into a baseball stadium. It,n/a,gets hit by a baseball.,runs to first base.,swings a bat.,hits a home run.
n/a,When I was young I had a rabbit. The rabbit,n/a,snores a lot in the night.,stayed young forever,was a math genius,fell in love with my dog
n/a,"The students are taking a math class, their teacher",n/a,talks about the story of Thomas Bayes.,teaches them to swim.,asks them to write an article about politics.,regards Shakespeare one of the greatest mathematicians.
n/a,The boys could barely take their eyes off the football game on the television. The boys,n/a,were cheering for the Bears.,turned the television off.,hate football.,changed the channel.
n/a,"This shirt is too expensive, and I don't really want it. I",n/a,don't buy it because I don't have enough money.,trip and fall over.,buy it anyways because I'm rich.,go eat a pizza.
n/a,The frog has broken legs and cannot jump. It,n/a,sits and waits for its mother to bring it food because it can not move.,jumps.,hops.,stretches its legs and jumps.
n/a,The college student went to the library to study with the group. The student,n/a,got in an argument with his partners,went on a date with a student,burned a lot of the books,played videogames for the rest of the hour
n/a,A musician is sitting on stage singing and playing the guitar. He,n/a,feels the energy of the audience.,really hates music.,has a really bad voice.,eats his guitar.
n/a,The dead tree was going to fall on the house. The homeowner should,n/a,cut the tree down.,give the tree love.,move to a different house.,call the cops.
n/a,The barista always had to get up early on Saturdays. She,n/a,arrived at work and began to brew coffee.,threw a baseball back and forth with her friend.,prepared to start the race.,got into the left hand turn lane and merged into traffic.
n/a,My brother keeps stealing the toilet paper. I think,n/a,he has no money.,he believes every house is red.,He got a new job.,he's feeling blue.
n/a,A woman gets to work early and drops off her briefcase. She then,n/a,makes small talk at the office.,microwaves her lunch.,drives home through traffic.,lays down to watch a favorite show.
n/a,A dog jumps in the air. He,n/a,is excited that Stacey is home from college.,is on a planet with lower gravity.,is shooting a commercial for Air Jordans.,has asked to be cast as the new Air Bud.
n/a,Anne got hitched. She wore a beautiful dress and was surrounded by her friends and family. She ate a,n/a,wedding cake.,carrot cake.,birthday cake.,hot dog.
n/a,"At night, a dog is sleeping out of building. It",n/a,sleeps with its family.,is eating food.,leaps through the air and catches the frisbee in its mouth.,is trying to catch a rabbit.
n/a,His wallet was stolen. He,n/a,blamed his careless.,asked the thief to catch the police.,thought the thief is clever.,asked the thief to go away.
n/a,I crashed my car and broke my arm so I called,n/a,a doctor.,a friend.,a lawyer.,a mechanic.
n/a,"Joe, Maria, and their dog walked towards the restaurant when suddenly,",n/a,a police officer gave them a citation for jaywalking.,a police officer gave them a citation because restaurants are illegal.,a police officer gave them a citation for the dog to eat as a treat.,a police officer gave them a citation for looking strange.
n/a,"Unable to go, Sarah decided to take a raincheck. Sarah",n/a,will reschedule the event,will check on the rain,wonders if it's wet outside,will see if it's raining outside
n/a,"A girl mixed in flour, sugar, and vanilla in a bowl. She",n/a,puts it in the oven,mixes in more gasoline,picks her nose,eats soup
n/a,A baker is baking a cake. He,n/a,pre-heats the oven.,follows a recipe from the lost city of Atlantis for the cake.,makes frosting and plays sudoku with the cake.,"mixes flour, raw chicken and pesto into the cake."
n/a,"They went to a bar. At the bar, they bought a flight",n/a,of beers.,for some escaped convicts.,of birds.,to another country.
n/a,Drake likes to sing and rap. He,n/a,comes out with a new album.,wraps a present.,jumps on a pegasus.,knocks on the door.
n/a,He does not want to hurt his girlfriend. He,n/a,lied to his girlfriend,punched his girlfriend,fights to his girlfriend,rides a horse
n/a,I have a younger brother. I,n/a,will be forty when he is thirty.,have flown farther than he has.,am a mother of three alpacas.,will be thirty when he is forty.
n/a,A baby is crying. His mother,n/a,can't sleep,is laughing at him,likes him,is his mother
